id,craft time,class,*,name
264,6:25,MG,4,Chauchat
265,,AR,3,HK33
266,,RF,5,R93
267,,SMG,3,MP41
268,,RF,3,T-CMS
269,0:50,HG,4,P30
270,4:04,RF,4,Type 4
271,,MG,3,K3
272,,HG,5,Desert Eagle
273,,RF,4,SSG 3000
274,,AR,5,ACR
275,,MG,4,M1895 CB
276,,MG,5,Kord
277,,HG,3,VP70
278,,SG,3,Six12
279,,AR,3,INSAS
280,,SMG,4,MAT-49
281,8:15,SG,5,CAWS
282,8:13,SG,5,DP-12
283,7:45,SG,4,Liberator
284,,RF,3,Zas M76
285,1:09,HG,5,C-93
286,2:20,SMG,4,KAC-PDW
287,3:56,AR,5,SIG-556
288,3:35,AR,4,CR-21
289,,AR,5,R5
290,4:08,AR,5,Howa Type 89
291,,SMG,3,43M
292,6:16,MG,5,RPK-16
293,4:15,AR,5,AK-15
294,,HG,5,Webley
295,,SMG,4,CF05
296,,RF,5,SL8
297,,AR,4,M82
298,,AR,3,Vepr
299,,SG,3,HSM10
1001,,HG,1,Noel
1002,,SG,1,Elphelt
1003,,HG,1,Kiana
1004,,RF,1,Raiden Mei
1005,,RF,1,Bronya
1006,,HG,1,Theresa
1007,,AR,1,Murata Himeko
1008,,SG,1,Seele
1009,,HG,1,Clear
1010,,HG,1,Fail
